activation,aux1_accuracy,aux1_loss,aux2_accuracy,aux2_loss,dataset,dropout_rate,epochs,input_dims,loss,lr_rate,main_accuracy,main_loss,model_name,test_accuracy,test_loss,val_aux1_accuracy,val_aux1_loss,val_aux2_accuracy,val_aux2_loss,val_loss,val_main_accuracy,val_main_loss,opt
softmax,"[0.8413184, 0.9754478, 0.9817413, 0.9875871, 0.98893034, 0.9917413, 0.99375623, 0.9954726, 0.99228853, 0.99208957]","[0.49796313, 0.085701644, 0.06322322, 0.040647008, 0.035579927, 0.027062776, 0.021475475, 0.016119557, 0.027300734, 0.027408265]","[0.8144527, 0.9749005, 0.9819154, 0.9876617, 0.98985076, 0.99231344, 0.99393034, 0.9960945, 0.99251246, 0.99298507]","[0.54837173, 0.08343527, 0.05908768, 0.04127536, 0.033432264, 0.024731018, 0.02040657, 0.013736354, 0.024903309, 0.02517952]",mnist,0.2,10.0,"(224, 224, 3)","[1.6078689948006055, 0.2451490221450578, 0.17789866957350156, 0.11852728059932367, 0.09961424930998823, 0.07357505759196495, 0.06090913991142639, 0.040316741600336124, 0.07203897087950611, 0.06794806557693588]",0.001,"[0.80731344, 0.9772637, 0.9834826, 0.988607, 0.990398, 0.99308455, 0.9940796, 0.996393, 0.9929602, 0.9930597]","[0.55778015, 0.07739729, 0.05524192, 0.03693459, 0.030307591, 0.021659503, 0.018854793, 0.012107282, 0.023781843, 0.025339296]",inception,0.959999978542328,0.40843393201828,"[0.9278787970542908, 0.7772727012634277, 0.9778282642364502, 0.9823737144470215, 0.9843939542770386, 0.98338383436203, 0.9848484992980957, 0.8318687081336975, 0.949040412902832, 0.9733333587646484]","[0.26577919721603394, 0.7013956904411316, 0.07068634033203125, 0.06061232089996338, 0.05533582717180252, 0.0601443313062191, 0.05447176471352577, 0.820324718952179, 0.20143155753612518, 0.09968488663434982]","[0.8982828259468079, 0.8173737525939941, 0.9750000238418579, 0.9813636541366577, 0.984343409538269, 0.9832828044891357, 0.9834848642349243, 0.8056060671806335, 0.9279292821884155, 0.9574242234230042]","[0.3415633738040924, 0.5945334434509277, 0.0800420418381691, 0.06391468644142151, 0.05895683541893959, 0.06426790356636047, 0.0613081157207489, 1.1957284212112427, 0.2854498624801636, 0.16245795786380768]","[1.0073427840916798, 2.1421868758731417, 0.24396276042918966, 0.19607652197582554, 0.17088832129131665, 0.18193438578886215, 0.1726528135574225, 3.338932166051383, 0.9076527373236839, 0.4237313808816852]","[0.87580806016922, 0.7410101294517517, 0.9697474837303162, 0.9794444441795349, 0.9846969842910767, 0.9840909242630005, 0.9847979545593262, 0.8013131022453308, 0.9006060361862183, 0.9571211934089661]","[0.40057456493377686, 0.8465908169746399, 0.0936293974518776, 0.07138701528310776, 0.057053856551647186, 0.058273788541555405, 0.05732939392328262, 1.325875163078308, 0.42047104239463806, 0.16227634251117706]",sgd
softmax,"[0.86037314, 0.9789801, 0.98186564, 0.9883831, 0.9909204, 0.9915174, 0.9919154, 0.99278605, 0.9922388, 0.9932587]","[0.4122542, 0.07325408, 0.06626182, 0.043042693, 0.03271576, 0.03018883, 0.029892368, 0.025195995, 0.027738826, 0.023426948]","[0.83017415, 0.97778606, 0.98024875, 0.9875871, 0.99024874, 0.99097013, 0.9909453, 0.99243784, 0.9912189, 0.99298507]","[0.4776656, 0.08507633, 0.07531435, 0.05005942, 0.036800448, 0.034011446, 0.033154372, 0.029118553, 0.034389973, 0.02705412]",mnist,0.2,10.0,"(224, 224, 3)","[1.447963404519048, 0.250147792361862, 0.22745934622658798, 0.148489071726799, 0.11047346795698285, 0.10360098298472255, 0.10032612135220291, 0.08637864794952804, 0.10358603061579946, 0.08265703524451874]",0.001,"[0.8104975, 0.97537315, 0.9788806, 0.9870398, 0.9897015, 0.99007463, 0.99057215, 0.9918657, 0.99014926, 0.99251246]","[0.5538392, 0.094006196, 0.0852253, 0.054958597, 0.04063052, 0.039145853, 0.036982488, 0.031838376, 0.041356932, 0.031930804]",inception,0.9873999953269958,0.1725554892209824,"[0.9700505137443542, 0.9700505137443542, 0.98338383436203, 0.9818686842918396, 0.9877777695655823, 0.9848484992980957, 0.9884343147277832, 0.9790909290313721, 0.9830303192138672, 0.9862121343612671]","[0.10495954006910324, 0.10030345618724823, 0.05562647059559822, 0.06738780438899994, 0.04230106249451637, 0.057046033442020416, 0.044576603919267654, 0.07772058248519897, 0.07838702201843262, 0.061663493514060974]","[0.9640403985977173, 0.9703535437583923, 0.9820706844329834, 0.9813636541366577, 0.9865151643753052, 0.9831818342208862, 0.9884343147277832, 0.982424259185791, 0.9823737144470215, 0.9858585596084595]","[0.12715421617031097, 0.11287199705839157, 0.06240750104188919, 0.06706386059522629, 0.050577010959386826, 0.06534583121538162, 0.046668995171785355, 0.06924586743116379, 0.09017356485128403, 0.06847414374351501]","[0.3861674976830531, 0.3421804443513504, 0.18943810037892275, 0.21139281568503138, 0.1491192747125722, 0.1920862821978752, 0.13936312241686716, 0.239835446904404, 0.263348206523994, 0.2104124470818976]","[0.9563131332397461, 0.9661616086959839, 0.9803535342216492, 0.9789898991584778, 0.9864141345024109, 0.9829797744750977, 0.9880807995796204, 0.9774747490882874, 0.9812121391296387, 0.9850000143051147]","[0.15425331890583038, 0.1295291781425476, 0.07141013443470001, 0.076978899538517, 0.056364238262176514, 0.06977256387472153, 0.04823720082640648, 0.09311924129724503, 0.09635802358388901, 0.07990768551826477]",adam
softmax,"[0.8526368, 0.96890545, 0.97830844, 0.9831841, 0.98639303, 0.9873881, 0.9904975, 0.99146765, 0.99303484, 0.9941542]","[0.45441198, 0.10274608, 0.071627796, 0.05514177, 0.046952624, 0.045796953, 0.031247314, 0.028044397, 0.0235067, 0.019947741]","[0.8188557, 0.97024876, 0.9802985, 0.98544776, 0.98893034, 0.9872388, 0.9931592, 0.99435323, 0.99544775, 0.9968159]","[0.5318966, 0.098499455, 0.0672347, 0.047910005, 0.037493456, 0.049586497, 0.023484444, 0.019118516, 0.015642332, 0.011442992]",mnist,0.2,10.0,"(224, 224, 3)","[1.56470524057227, 0.29654361480504127, 0.20058623958286362, 0.14859607624813256, 0.11478382561930377, 0.1531550774196932, 0.07463921529718151, 0.06329336608672023, 0.05201626132673292, 0.03996206193643423]",0.001,"[0.80634326, 0.9706219, 0.9814179, 0.98544776, 0.98977613, 0.9865174, 0.9940299, 0.9948756, 0.9962438, 0.9976368]","[0.57467526, 0.09503355, 0.061338842, 0.045103773, 0.03482483, 0.057377104, 0.019705014, 0.016546221, 0.013065345, 0.008530502]",inception,0.9858999848365784,0.13067336624595335,"[0.9259091019630432, 0.9691919088363647, 0.9728788137435913, 0.9812121391296387, 0.8367676734924316, 0.9819697141647339, 0.9838383793830872, 0.9533838629722595, 0.9828788042068481, 0.9857070446014404]","[0.2929881811141968, 0.101128950715065, 0.08529450744390488, 0.06159556657075882, 0.8990525007247925, 0.05780249461531639, 0.052153777331113815, 0.16127321124076843, 0.05895473062992096, 0.05030793696641922]","[0.9154040217399597, 0.9485858678817749, 0.9740403890609741, 0.9821717143058777, 0.7557070851325989, 0.9837878942489624, 0.9847474694252014, 0.952373743057251, 0.9838888645172119, 0.9844444394111633]","[0.3069593608379364, 0.16438953578472137, 0.08826879411935806, 0.0612938217818737, 1.5067936182022095, 0.05724925920367241, 0.053793925791978836, 0.20487819612026215, 0.06468861550092697, 0.059381116181612015]","[0.9418433672009092, 0.4208627475873388, 0.27041488470453207, 0.1854919947036589, 4.381981176703867, 0.17491609183224766, 0.16218638137735503, 0.5825872519522002, 0.19824807079904008, 0.1756097407985215]","[0.9034343361854553, 0.95252525806427, 0.9720202088356018, 0.9824747443199158, 0.68828284740448, 0.9829292893409729, 0.9845959544181824, 0.9549999833106995, 0.9831818342208862, 0.9848484992980957]","[0.3422982394695282, 0.15529805421829224, 0.09687072038650513, 0.06294480711221695, 1.9737950563430786, 0.06007666885852814, 0.05645446106791496, 0.2158898115158081, 0.0748380795121193, 0.06625010073184967]",adagrad
softmax,"[0.27453732, 0.42053732, 0.4935821, 0.5458806, 0.5838209, 0.61116415, 0.6402985, 0.663194, 0.6847164, 0.7032836]","[1.9461348, 1.5712534, 1.3920573, 1.2738271, 1.1665424, 1.0893102, 1.0184101, 0.95442766, 0.9011519, 0.84824854]","[0.25892538, 0.4218806, 0.4964179, 0.54662687, 0.5855821, 0.61379105, 0.64268655, 0.66880596, 0.688, 0.7070149]","[1.9561182, 1.570118, 1.3957865, 1.2707089, 1.1682844, 1.085359, 1.0173117, 0.95237154, 0.8933329, 0.83965254]",cifar10,0.2,10.0,"(224, 224, 3)","[5.855830362519222, 4.678803367728618, 4.152456331793942, 3.7873947761307902, 3.4751160486989945, 3.2284221762472125, 3.027183899609011, 2.8320846213725077, 2.664286465288988, 2.5058060605348045]",0.001,"[0.25155222, 0.4315224, 0.50325376, 0.5520597, 0.59202987, 0.62202984, 0.647194, 0.67337316, 0.69355226, 0.7134627]","[1.9532611, 1.5372072, 1.3646228, 1.2421533, 1.1401181, 1.0542809, 0.9911845, 0.92555404, 0.8697557, 0.81762916]",inception,0.6305999755859375,3.394364582061768,"[0.19818182289600372, 0.45921212434768677, 0.4587878882884979, 0.5358181595802307, 0.43593940138816833, 0.48630303144454956, 0.5729696750640869, 0.5151515007019043, 0.6129090785980225, 0.6189091205596924]","[2.0716845989227295, 1.489746332168579, 1.522896409034729, 1.2944576740264893, 1.52742600440979, 1.5436971187591553, 1.2085895538330078, 1.3871960639953613, 1.1143466234207153, 1.126937747001648]","[0.22545453906059265, 0.46345454454421997, 0.4671515226364136, 0.5321817994117737, 0.4363030195236206, 0.4745454490184784, 0.5629090666770935, 0.5037575960159302, 0.6062424182891846, 0.6252727508544922]","[2.020219564437866, 1.4857611656188965, 1.5114988088607788, 1.3039724826812744, 1.5416237115859985, 1.65663743019104, 1.2434810400009155, 1.4150291681289673, 1.1528986692428589, 1.1081628799438477]","[6.08610057553378, 4.443797479340525, 4.56603193063447, 3.917577697291519, 4.6069139681729405, 4.813852135744962, 3.7043819024635085, 4.211752453428327, 3.4358911121252813, 3.3310845221317176]","[0.22963635623455048, 0.46515151858329773, 0.46084848046302795, 0.5179393887519836, 0.44036364555358887, 0.47945454716682434, 0.5597575902938843, 0.5086060762405396, 0.6003636121749878, 0.6285454630851746]","[1.993947148323059, 1.468044638633728, 1.5312836170196533, 1.318843126296997, 1.5376406908035278, 1.6134546995162964, 1.2520055770874023, 1.4093823432922363, 1.1682497262954712, 1.0955017805099487]",sgd
softmax,"[0.2780597, 0.42931342, 0.50462687, 0.56349254, 0.60525376, 0.64677614, 0.68101496, 0.706, 0.7297612, 0.7481194]","[1.9049909, 1.5282125, 1.3467908, 1.2160519, 1.1063137, 1.0006012, 0.91459703, 0.8359582, 0.7765187, 0.72129273]","[0.25868657, 0.41417912, 0.4999403, 0.5533433, 0.5979701, 0.63844776, 0.6766866, 0.70220894, 0.7229552, 0.74525374]","[1.929492, 1.5598062, 1.3641142, 1.2378556, 1.129086, 1.0255831, 0.9337639, 0.85549515, 0.7991756, 0.73923147]",cifar10,0.2,10.0,"(224, 224, 3)","[5.79272524728348, 4.6710144616881415, 4.091174049775992, 3.703071074699288, 3.372344302020856, 3.059237650515428, 2.7879423868549402, 2.5503094423493344, 2.3761726997859443, 2.2093930292841213]",0.001,"[0.24068657, 0.40020895, 0.49325374, 0.5469851, 0.59050745, 0.6339403, 0.67095524, 0.6961791, 0.72026867, 0.74065673]","[1.9571333, 1.5832115, 1.3800559, 1.2492208, 1.1364319, 1.0332433, 0.9401056, 0.8586033, 0.8000241, 0.7486407]",inception,0.6439999938011169,3.209218437194824,"[0.3392121195793152, 0.40533334016799927, 0.4115757644176483, 0.42606061697006226, 0.42933332920074463, 0.5318182110786438, 0.5967878699302673, 0.626909077167511, 0.647636353969574, 0.649030327796936]","[1.7828338146209717, 1.6093435287475586, 1.592360019683838, 1.6479957103729248, 1.7797683477401733, 1.2942125797271729, 1.1827386617660522, 1.0446367263793945, 0.9921407699584961, 1.0335254669189453]","[0.33927273750305176, 0.40109091997146606, 0.4052121341228485, 0.4180606007575989, 0.43090909719467163, 0.5305454730987549, 0.5899394154548645, 0.628969669342041, 0.6416363716125488, 0.6507272720336914]","[1.7291311025619507, 1.6144627332687378, 1.5852464437484741, 1.6727499961853027, 1.7158191204071045, 1.2706705331802368, 1.1938821077346802, 1.0448260307312012, 1.0084481239318848, 1.0433446168899536]","[5.260257058808298, 4.839524832523231, 4.766541052616004, 4.938241644425825, 5.176967605128433, 3.844826489419648, 3.6365308907826743, 3.1572536616469873, 3.0198121332688763, 3.1412056921178646]","[0.3187878727912903, 0.40090909600257874, 0.4031515121459961, 0.4323636293411255, 0.42878788709640503, 0.5263636112213135, 0.5810303092002869, 0.621030330657959, 0.6382424235343933, 0.6444848775863647]","[1.7479976415634155, 1.6152963638305664, 1.5886274576187134, 1.617340326309204, 1.680949330329895, 1.2797075510025024, 1.259482979774475, 1.0675485134124756, 1.0188695192337036, 1.0637463331222534]",adam
softmax,"[0.31797016, 0.42701492, 0.47597015, 0.5048955, 0.53167164, 0.5490448, 0.56438804, 0.5784179, 0.5924179, 0.60343283]","[1.8658993, 1.5576162, 1.4420077, 1.3653731, 1.2982395, 1.2511724, 1.2126257, 1.1802142, 1.1455088, 1.1164855]","[0.29343283, 0.41773134, 0.47119403, 0.5080597, 0.53238803, 0.5526866, 0.572597, 0.5850746, 0.6041791, 0.61507463]","[1.8981797, 1.5784487, 1.4551499, 1.3650703, 1.295277, 1.2398045, 1.1953714, 1.1578903, 1.1136246, 1.0786921]",cifar10,0.2,10.0,"(224, 224, 3)","[5.666933932517892, 4.686836285263745, 4.320592680973793, 4.065064741220048, 3.857026468077702, 3.700272454503757, 3.571589068028464, 3.4603293821420245, 3.3384577435166087, 3.241261742008266]",0.001,"[0.28922388, 0.4237612, 0.47519404, 0.51044774, 0.5395522, 0.55916417, 0.578209, 0.5962388, 0.61220896, 0.6256716]","[1.9017203, 1.5504872, 1.4233673, 1.3347194, 1.2638619, 1.2090328, 1.163609, 1.1223404, 1.0790883, 1.0457777]",inception,0.5795000195503235,3.5475981903076166,"[0.3729090988636017, 0.45363637804985046, 0.5079393982887268, 0.5212727189064026, 0.5329697132110596, 0.5496969819068909, 0.5695151686668396, 0.5699999928474426, 0.5723636150360107, 0.5836363434791565]","[1.7851142883300781, 1.5080355405807495, 1.3634647130966187, 1.3245551586151123, 1.282840609550476, 1.2475155591964722, 1.2111048698425293, 1.2013297080993652, 1.2044802904129028, 1.1645591259002686]","[0.3752727210521698, 0.4506060481071472, 0.4968484938144684, 0.5046060681343079, 0.5269091129302979, 0.54872727394104, 0.5647878646850586, 0.5668484568595886, 0.5713333487510681, 0.5830909013748169]","[1.8065366744995117, 1.5176572799682617, 1.3835524320602417, 1.347175121307373, 1.3021162748336792, 1.2527589797973633, 1.2195664644241333, 1.206965446472168, 1.2039870023727417, 1.1718833446502686]","[5.37496590053674, 4.5362845824270535, 4.139506891424006, 4.02406871136752, 3.9037537064985797, 3.7553498153686524, 3.656100554784139, 3.625189048651493, 3.6107975844180946, 3.519142456748269]","[0.3824242353439331, 0.4492727220058441, 0.4943636357784271, 0.5021212100982666, 0.5232727527618408, 0.5459393858909607, 0.5629696846008301, 0.5649091005325317, 0.5733333230018616, 0.5813939571380615]","[1.7831600904464722, 1.5103983879089355, 1.3922420740127563, 1.3520350456237793, 1.318657636642456, 1.2548869848251343, 1.2251914739608765, 1.2166805267333984, 1.2020572423934937, 1.1825345754623413]",adagrad
softmax,"[0.69599503, 0.96572137, 0.9806965, 0.985398, 0.9880597, 0.989403, 0.9905224, 0.99231344, 0.88768655, 0.9836567]","[0.88142514, 0.117238, 0.069704, 0.05218528, 0.040358637, 0.03701223, 0.0317705, 0.028467596, 0.3802819, 0.06347453]","[0.6449005, 0.96422887, 0.97952735, 0.98527366, 0.9868159, 0.9890796, 0.99, 0.99199003, 0.83517414, 0.98266166]","[1.0068381, 0.12828322, 0.07486946, 0.05568414, 0.044784065, 0.039679483, 0.034762554, 0.029410832, 0.5176831, 0.06703577]",mnist,0.2,10.0,"(224, 224, 3)","[2.9753703363855086, 0.37638260179676525, 0.2183588296679122, 0.1630873668353671, 0.12890042753658484, 0.11669551542297525, 0.09963595786979838, 0.08227237264463558, 1.4799184241923342, 0.1984021884558806]",0.01,"[0.61024874, 0.9616418, 0.9791791, 0.9846269, 0.9874129, 0.98900497, 0.9902239, 0.9916667, 0.8088557, 0.98129356]","[1.0817562, 0.12981628, 0.07382993, 0.054735724, 0.043464452, 0.039910756, 0.032832194, 0.029064087, 0.57757145, 0.06808586]",inception,0.9158999919891356,0.651437156534195,"[0.8080303072929382, 0.9564141631126404, 0.9408080577850342, 0.9823232293128967, 0.9833333492279053, 0.9835353493690491, 0.9776262640953064, 0.5045454502105713, 0.9745959639549255, 0.9595454335212708]","[0.5721358060836792, 0.14710798859596252, 0.19953010976314545, 0.05991301313042641, 0.06312718242406845, 0.061746519058942795, 0.07756323367357254, 3.614673137664795, 0.09684237092733383, 0.14733508229255676]","[0.8013636469841003, 0.9613131284713745, 0.9364141225814819, 0.9823232293128967, 0.9825757741928101, 0.9818181991577148, 0.978787899017334, 0.4622727334499359, 0.9736363887786865, 0.949696958065033]","[0.6426754593849182, 0.1299261450767517, 0.2286788374185562, 0.06573285162448883, 0.06739632785320282, 0.07174111902713776, 0.07769137620925903, 4.66867733001709, 0.09692353755235672, 0.18923939764499664]","[1.9520020962724782, 0.42149038960235286, 0.7216536427507497, 0.19193638360560542, 0.20953811306845058, 0.20153815799590313, 0.2385774328371491, 13.38124062278054, 0.3115837722595292, 0.7259790657024191]","[0.782575786113739, 0.9569191932678223, 0.9190909266471863, 0.9811615943908691, 0.9803030490875244, 0.982424259185791, 0.9777272939682007, 0.4499495029449463, 0.9690403938293457, 0.8993434309959412]","[0.7380633354187012, 0.1451074182987213, 0.2942802309989929, 0.06635602563619614, 0.07909189164638519, 0.06807602941989899, 0.0834798663854599, 5.101593017578125, 0.11830610781908035, 0.38992416858673096]",sgd
softmax,"[0.112711444, 0.11253732, 0.11253732, 0.11253732, 0.11253732, 0.11253732, 0.11253732, 0.11253732, 0.11253732, 0.11253732]","[14.277229, 14.303612, 14.303614, 14.303604, 14.297616, 14.309606, 14.309609, 14.303617, 14.309609, 14.309612]","[0.11238806, 0.11253732, 0.11253732, 0.11253732, 0.11253732, 0.11253732, 0.11253732, 0.11253732, 0.11253732, 0.11253732]","[14.276006, 14.303612, 14.303614, 14.303604, 14.297616, 14.309606, 14.309609, 14.303617, 14.309609, 14.309612]",mnist,0.2,10.0,"(224, 224, 3)","[42.92561841974211, 43.00163450402407, 43.00965382058822, 43.03892266041011, 43.022082898343974, 43.024488698475395, 43.03812060000291, 43.01526685496468, 43.00163458525245, 43.033309437006864]",0.1,"[0.10557214, 0.107014924, 0.10651741, 0.10470149, 0.10574627, 0.10559701, 0.104751244, 0.10616916, 0.107014924, 0.10504975]","[14.3825445, 14.39236, 14.39435, 14.429531, 14.418737, 14.415135, 14.428734, 14.405948, 14.392345, 14.429933]",inception,0.10320000350475313,43.032090728759776,"[0.11202020198106766, 0.11202020198106766, 0.11202020198106766, 0.11202020198106766, 0.11202020198106766, 0.11202020198106766, 0.11202020198106766, 0.11202020198106766, 0.11202020198106766, 0.11202020198106766]","[14.312125205993652, 14.312125205993652, 14.312125205993652, 14.312125205993652, 14.312125205993652, 14.312125205993652, 14.312125205993652, 14.312125205993652, 14.312125205993652, 14.312125205993652]","[0.11202020198106766, 0.11202020198106766, 0.11202020198106766, 0.11202020198106766, 0.11202020198106766, 0.11202020198106766, 0.11202020198106766, 0.11202020198106766, 0.11202020198106766, 0.11202020198106766]","[14.312125205993652, 14.312125205993652, 14.312125205993652, 14.312125205993652, 14.312125205993652, 14.312125205993652, 14.312125205993652, 14.312125205993652, 14.312125205993652, 14.312125205993652]","[43.163119497588184, 43.163119497588184, 43.163119497588184, 43.163119497588184, 43.163119497588184, 43.163119497588184, 43.163119497588184, 43.163119497588184, 43.163119497588184, 43.163119497588184]","[0.09803030639886856, 0.09803030639886856, 0.09803030639886856, 0.09803030639886856, 0.09803030639886856, 0.09803030639886856, 0.09803030639886856, 0.09803030639886856, 0.09803030639886856, 0.09803030639886856]","[14.538634300231934, 14.538634300231934, 14.538634300231934, 14.538634300231934, 14.538634300231934, 14.538634300231934, 14.538634300231934, 14.538634300231934, 14.538634300231934, 14.538634300231934]",sgd
softmax,"[0.09845771, 0.098656714, 0.09820896, 0.09840796, 0.098507464, 0.09830846, 0.09803483, 0.098233834, 0.09833334, 0.098383084]","[14.495762, 14.532667, 14.539863, 14.530667, 14.535067, 14.532266, 14.536666, 14.533471, 14.537865, 14.531074]","[0.09208955, 0.09216418, 0.092114426, 0.09310945, 0.09141791, 0.09228855, 0.092363186, 0.09179104, 0.09300995, 0.091716416]","[14.603536, 14.637007, 14.631804, 14.621813, 14.643002, 14.623012, 14.627809, 14.643002, 14.611422, 14.638206]",mnist,0.2,10.0,"(224, 224, 3)","[43.563574750150615, 43.66800945073218, 43.676028436309664, 43.6567828445055, 43.68244363813258, 43.671618035159895, 43.674825674787684, 43.68083985285973, 43.65958946721471, 43.679636982021044]",0.5,"[0.10007463, 0.09992538, 0.09992538, 0.09992538, 0.09992538, 0.09992538, 0.09992538, 0.09992538, 0.09992538, 0.09992538]","[14.472534, 14.50029, 14.512284, 14.506276, 14.512279, 14.506289, 14.512277, 14.512288, 14.506286, 14.512286]",inception,0.10320000350475313,43.68326127319336,"[0.09565656632184982, 0.09565656632184982, 0.09565656632184982, 0.09565656632184982, 0.09565656632184982, 0.09565656632184982, 0.09565656632184982, 0.09565656632184982, 0.09565656632184982, 0.09565656632184982]","[14.578298568725586, 14.578298568725586, 14.578298568725586, 14.578298568725586, 14.578298568725586, 14.578298568725586, 14.578298568725586, 14.578298568725586, 14.578298568725586, 14.578298568725586]","[0.0908585861325264, 0.0908585861325264, 0.0908585861325264, 0.0908585861325264, 0.0908585861325264, 0.0908585861325264, 0.0908585861325264, 0.0908585861325264, 0.0908585861325264, 0.0908585861325264]","[14.653996467590332, 14.653996467590332, 14.653996467590332, 14.653996467590332, 14.653996467590332, 14.653996467590332, 14.653996467590332, 14.653996467590332, 14.653996467590332, 14.653996467590332]","[43.76795484446516, 43.76795484446516, 43.76795484446516, 43.76795484446516, 43.76795484446516, 43.76795484446516, 43.76795484446516, 43.76795484446516, 43.76795484446516, 43.76795484446516]","[0.09803030639886856, 0.09803030639886856, 0.09803030639886856, 0.09803030639886856, 0.09803030639886856, 0.09803030639886856, 0.09803030639886856, 0.09803030639886856, 0.09803030639886856, 0.09803030639886856]","[14.538634300231934, 14.538634300231934, 14.538634300231934, 14.538634300231934, 14.538634300231934, 14.538634300231934, 14.538634300231934, 14.538634300231934, 14.538634300231934, 14.538634300231934]",sgd
softmax,"[0.5262935, 0.9035075, 0.94798505, 0.961592, 0.96965176, 0.9737065, 0.97676617, 0.9800995, 0.98164177, 0.9835323]","[1.4721739, 0.34577316, 0.18762182, 0.13638775, 0.10823627, 0.089486115, 0.07824503, 0.07067802, 0.06133769, 0.05571135]","[0.42940298, 0.8955721, 0.94955224, 0.9641791, 0.96987563, 0.9750995, 0.9794776, 0.98169154, 0.983408, 0.985597]","[1.6625447, 0.36693212, 0.17940634, 0.12405232, 0.100314334, 0.08080866, 0.07043329, 0.06010167, 0.05538295, 0.047883186]",mnist,0.2,10.0,"(224, 224, 3)","[4.915797801729458, 1.0832627323017785, 0.5318235378360274, 0.3763001980591769, 0.2999713700031167, 0.24330794776034592, 0.21256315173646112, 0.18463437417253334, 0.16460481478392486, 0.14457046207207352]",0.0001,"[0.37616915, 0.89119405, 0.9506716, 0.96465176, 0.9725622, 0.9779353, 0.9800249, 0.9837811, 0.98507464, 0.98761195]","[1.7701445, 0.3710714, 0.16851248, 0.11742566, 0.091283716, 0.07239289, 0.06357583, 0.054355145, 0.047429513, 0.040584747]",inception,0.9842000007629396,0.15270480024293065,"[0.6906060576438904, 0.9498990178108215, 0.9642423987388611, 0.960303008556366, 0.9733333587646484, 0.9779292941093445, 0.9800505042076111, 0.9789898991584778, 0.9809595942497253, 0.9827272891998291]","[1.1792126893997192, 0.19231253862380981, 0.12451338022947311, 0.1325940191745758, 0.08684298396110535, 0.0755203366279602, 0.06523463129997253, 0.06803970038890839, 0.060529161244630814, 0.057680562138557434]","[0.6358585953712463, 0.9348484873771667, 0.962171733379364, 0.9535858631134033, 0.9739899039268494, 0.9747474789619446, 0.9807575941085815, 0.9783838391304016, 0.9823737144470215, 0.9826262593269348]","[1.2438583374023438, 0.22162692248821259, 0.12177269160747528, 0.1481495052576065, 0.08252788335084915, 0.07964774966239929, 0.06323357671499252, 0.06823619455099106, 0.05801458656787872, 0.05589623004198074]","[3.7038705153417104, 0.6428216370187625, 0.36782295318564984, 0.4375618345087225, 0.24966877632670934, 0.23372683021757337, 0.19147878825664522, 0.2061078049317755, 0.17594922865882065, 0.16989152781289033]","[0.631969690322876, 0.9318686723709106, 0.9637373685836792, 0.9526767730712891, 0.9745959639549255, 0.9747979640960693, 0.980707049369812, 0.9779292941093445, 0.9824747443199158, 0.982272744178772]","[1.2814339399337769, 0.22950665652751923, 0.12185533344745636, 0.15700188279151917, 0.08058479428291321, 0.07869959622621536, 0.06311386078596115, 0.06979795545339584, 0.05750645697116852, 0.05624212324619293]",sgd
